Tag#,Acknowledgement,Account No,Ship To Address[1],Ship To Address[2],Blank #,Bill to,Buyer,Shipping Carrier,City,Company,Company Name,Costs,Consumption Quantity,Unit of Measure,Contact,Unit Cost,Currency Code[1],Currency Code[2],Customer Number,Deleted?,Discount,Description[1],Description[2],Required Date,ex-rate,FOB Origin/Dest,Freight Payment,Name,Item#,Item Type,Internial Job Number,Job Number,Run #,Last Ship Date,Line,Whse,Bin,opened,Customer Order Number,Order Quantity,Overrun %,Partial Qty,Date Changed,PO Date,PO Number,Purchase Quantity Uom,Purchased UOM,Printed?,Purchase Count,Receipt Qty,Received,Release Quantity,Sheet Len,Sheet #,Sheet Wid,Setup Charge,Shipping Address[1],Shipping Address[2],Shipping City,Shipping Instructions[1],Shipping Instructions[2],Shipping Instructions[3],Shipping Instructions[4],Ship To,Shipping Name,Ship To Number,Shipping State,Shipping Zip,Special Instructions[1],Special Instructions[2],Special Instructions[3],Special Instructions[4],Status,State,Total Cost,Total Freight,Total Invoiced,Total Received,Total Quantity Released,Tag Date,Tax,Sales Tax Group,Tax Exempt No.,Payment Terms,Total Tags,Type,Underrun %,Updated Date,Updated Time,Vendor Item #,Vendor Name,Vendor,Zip Code
"01018310010000015","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000015","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000016","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000016","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000017","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000017","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000018","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000018","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000019","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
"01018310010000019","no","41100-01","","","0","","asi","TRUCK","","001","Advanced Box Company 001 V10","1.08","50000","EA","John Stone","32.4","","","","no","0","200C Kraft Paper","200C 60 x80 Sheet","03/14/12","0","Dest","B","200C 60x80 Kraft","200C-60X80","yes","0","","0","03/14/12","1","MAIN","A-100","yes","0","50000","7","0","?","03/13/12","101831","EA","MSF","no","0","5000","yes","0","80","0","60","0","PO Box 1234","1287 First Ave","Langhorne","","","","","001","Advanced Box Company 001 V10","0","Pa","19047","","","","","N","","57240","0","0","45000","0","03/13/12","3240","PA","","N30","10","R","7","?","0","S-200C60x80","Stone Container Corp (A Temple Inland Company","STONE",""
