English,Espanol (Spanish),Français (French)
Build Estimate Files,Crear archivos de estimación,Créer des fichiers d'estimation
Build FG Warehouse/Bin,Build FG Warehouse/Bin,Construire un entrepôt FG
Build Flute/Test Counts,Build Flute/Test Counts,Construire des comptes de flûte/test
Build Payment Selection List,Crear lista de selección de pago,Créer une liste de sélection de paiement
Build Security by Menu,Crear seguridad por menú,Générer la sécurité par menu
Business Documents,Documentos de negocios,Documents d'affaires
Buyers,Compradores,Acheteurs
Carrier List,Lista de portadores,Liste des transporteurs
Case Label Creation,Creación de etiqueta de caso,Création d'étiquettes de cas
Cash Receipts,Recibos de efectivo,Les recettes monétaires
Cash Receipts by Sales Rep,Recibos de efectivo por representante de ventas,Encaissements par représentant des ventes
Cash Receipts by SalesRep Name,Recibos de efectivo por nombre del representante de ventas,Entrées de caisse par nom de représentant des ventes
Cash Receipts Processing,Cash Receipts Processing,Nom du traitement des encaissements
Change Price of Posted Invoice,Cambiar el precio de la factura publicada,Modifier le prix de la facture publiée
Change User Groups,Cambiar grupos de usuarios,Modifier les groupes d'utilisateurs
Chart of Accounts,Catálogo de cuentas,Plan comptable
Check Processing,Cheque procesamiento,Chèque le traitement
Check Register,Cheque registro,Chèque l'enregistrement
Check Register by GL#,Cheque Registrarse por GL#,Chèque Inscrivez-vous par GL #
Check Register Import,Cheque Registrar importación,Chèque l'importation du registre
Checks/Invoices,Cheques/Facturas,Chèques/Factures
Close / Reopen Jobs,Cerrar/volver a abrir trabajos,Close/Reopen Jobs
Close / Reopen Orders,Close/reopen orders,Fermer/Rouvrir les commandes
Close / Reopen POs,Cerrar/reabrir órdenes de compra,Fermer/rouvrir les bons de commande
Close Month,Mes cerrado,Mois de fermeture
Closed Job Analysis,Análisis de trabajo cerrado,Analyse d'emploi fermée
Codes,Códigos,Codes
Codes Listings,Listados de Códigos,Listes de codes
Comm Cost By Item,Costo de comunicación por artículo,Comm Coût par article
Company,Empresa,Société
Commission by Item Cost,Comisión por coste de artículo,Commission par article coût
Commission Cash Receipt,Recibo de caja de la Comisión,Récépissé de la Commission
Commissions,Comisiones,Commissions
Commissions using Comm Cost by Company,Comisiones que usan Comm Cost por compañía,Commissions utilisant Comm Comm coût par entreprise
Completed Machine Jobs,Trabajos de máquina terminados,Travaux de machine terminés
Completed Machine Jobs List,Lista completa de trabajos de la máquina,Liste des travaux de machine complétés
Configurations,Configuraciones,Configurations
Contact List,Lista de contactos,Liste de contacts
Contact Marketing,Mercado de contacto,Contact marché
Control File,Archivo de control,Fichier de contrôle
Controls,Controles,Contrôles
Copy Curr Bal to Budgets,Copia Curr Bal a Presupuestos,Copier Curr Bal dans les budgets
Copy Customer Notes,Copie las notas del cliente,Copier les notes du client
Copy Customers to Contact Mgr.,Copie clientes para contactar a Mgr.,Copier les clients à Contact Mgr.
Copy Order,Copiar orden,Copy Customers to Contact Mgr.
CorrTrim Downloading Inquiry,Consulta de descarga de CorrTrim,Demande de téléchargement CorrTrim
CorrTrim Downloading Program,Programa de descarga CorrTrim,Programme de téléchargement CorrTrim
CorrTrim Uploading History Inquiry,CorrTrim Uploading historial de investigación,CorrTrim Uploading enquête d'histoire
CorrTrim Uploading Program,CorrTrim Cargando Programa,CorrTrim Uploading Program
Corrugated / Foam Materials,Materiales corrugados/espuma,Matériaux ondulés/mousse
Corrugated Box Estimate,Estimación de Caja Corrugada,Estimation de la boîte en carton ondulé
Corrugated Styles,Estilos acanalados,Styles ondulés
Cost Estimate Control,Control de estimación de costos,Contrôle des coûts
Count Finished Goods,Recuento de productos terminados,Compter les marchandises finies
Count Raw Goods Inventory,Contar inventario de productos sin procesar,Comptabiliser l'inventaire des marchandises brutes
CR/DB Memo Edit List,CR/DB lista de edición memo,CR/DB Memo Modifier la liste
Create Bill of Lading,Crear conocimiento de embarque,Créer un connaissement
Create FG Receipt from BOLs,Crear recibo FG desde BOLs,Créer un reçu FG à partir de BOL
Credit Hold / Approve Orders,Retención de Crédito/Aprobar Órdenes,Attente de crédit/Approbation d'ordres
CRM Contacts,Contactos de CRM,Contacts CRM
CRM Customers,Clientes de CRM,Clients CRM
Cross References,Referencias cruzadas,Références croisées
Currency Code,Código de moneda,Code de devise
Current Month Detail,Detalle del mes actual,Détail du mois en cours
Current Period To Date Sales,Periodo actual hasta la fecha de ventas,Ventes courantes à ce jour
Customer Activity,Actividad del cliente,Activité client
Customer Inventory,Inventario del cliente,Inventaire des clients
Customer Inventory Report 1,Informe de inventario del cliente 1,Rapport d'inventaire client 1
Customer Inventory Report 2,Informe de inventario del cliente 2,Rapport d'inventaire client 2
Customer List,Lista de clientes,Liste de clients
Customer Matl. Usage,Uso del material del cliente,Utilisation du matériel client
Customer Shipto List,Cliente Enviar a la lista,Client Ship to List
Customer Snapshot Totals,Totales de instantáneas del cliente,Customer Snapshot Totals
Customer Types,Tipos de clientes,Types de clients
Customer/ShipTo List,Lista de clientes/buques,Liste des clients/ShipTo
Customers,Clientes,Les clients
Cycle Count Code Report,Informe de código de recuento de ciclos,Rapport de code de compte de cycle
Daily Summary by Employee,Resumen diario por empleado,Résumé quotidien par employé
Daily Transactions,Transacciones diarias,Transactions quotidiennes
Data Collection / Login,Recopilación de datos/Login,Collecte de données/Connexion
Data Collection Waste By Dep.,Recolección de datos Residuos por Dep.,Collecte de données Déchets par Dep.
Data Collection,Recopilación de datos,Collecte de données
Date Change Reasons,Razones para cambiar la fecha,Raisons de changement de date
Debit/Credit Register,Registro de débito/crédito,Registre de débit/crédit
Delete Zero Qty FG Bins,Eliminar contenedores Zero Qty FG,Supprimer les bacs FG Zero Qty
Delete Zero Qty RM Bins,Eliminar contenedores Zero Qty RM,Supprimer Zero Qty RM Bins
Departments,Departamentos,Départements
Detail Cash History Report,Informe detallado del historial de efectivo,Détail de l'historique de trésorerie
Detail Invoice Report,Informe de factura detallada,Détail du rapport de facturation
Detail Misc Cash History Rpt,Detalle Misc Cash History Rpt,Détail Divers Cash Historique Rpt
Disbursements Register,Desembolsos Registrarse,Registre des décaissements
DL-Mat-GSA by Whs/Bin/Tag,DL-Mat-GSA por Whs/Bin/Tag,DL-Mat-GSA par Whs/Bin/Tag
Document Controls,Controles de documentos,Contrôles de documents
Download Contacts,Descargar Contactos,Télécharger les contacts
Download to Laptop,Descargar a Laptop,Télécharger sur ordinateur portable
EDI,EDI,EDI
EDI 810 Invoices,EDI 810 Facturas,EDI 810 Factures
EDI ASN (856),EDI ASN (856),EDI ASN (856)
EDI Customer Master Settings,Configuración de maestro de cliente EDI,Paramètres de base du client EDI
EDI Customer Part Translation,Traducción de parte del cliente EDI,Traduction de la partie client EDI
EDI Order Acks (855),EDI Orden Acks (855),Commandes de commande EDI (855)
EDI Orders (850),Pedidos EDI (850),Commandes EDI (850)
EDI Orders (850) Import/Monitor,Importación/monitor de órdenes EDI (850),Commandes EDI (850) importer/surveiller
EDI Release Create/BOL Load,Lanzamiento Crear/BOL Carga,Libération EDI Créer/Charge BOL
EDI Segments per Partner Group,Segmentos EDI por grupo de socios,Segments EDI par groupe de partenaires
EDI Shipto,EDI Shipto,Navire EDI à
EDI Transaction Setup,Configuración de transacción EDI,Configuration des transactions EDI
Edit Error Codes,Editar códigos de error,Modifier les codes d'erreur
Edit/Post AR Applied Items,Editar/publicar elementos aplicados AR,Modifier/poster des articles appliqués AR
Edit/Post AR Cash Receipts,Editar/publicar recibos de efectivo de AR,Modifier/poster des reçus de trésorerie AR
Edit/Post AR Misc. Receipts,Editar/Publicar AR Misc. Ingresos,Modifier / Poster AR Divers Recettes
Email Codes,Códigos de correo electrónico,Codes Email
Employee Default Rates,Tasas predeterminadas del empleado,Taux de défaut des employés
Employee Time by Job and Machi,Tiempo del empleado por trabajo y máquina,Temps employé par le travail et la machine
Employee Time Sheet,Hoja de tiempo del empleado,Feuille de temps des employés
Employee Transaction Summary,Resumen de transacciones del empleado,Récapitulatif des transactions des employés
Employee Transactions,Transacciones de empleados,Transactions des employés
Employee Types,Tipos de empleados,Types d'employés
Employee Types List,Lista de tipos de empleados,Liste des types d'employés
Employees,Empleados,Des employés
Employees List,Lista de empleados,Liste des employés
Enter Misc. Receipts,Ingresa Misc. Ingresos,Entrez Misc. Recettes
Enter/Edit AP Invoices,Ingresa Misc. Ingresos,Entrer/Modifier les factures AP
Enter/Edit AR Invoices,Ingresar/editar facturas de AR,Entrer/Modifier les factures AR
Enter/Edit BOL,Entrar/Editar BOL,Entrer / Modifier BOL
Enter/Edit Cash Receipts,Ingresar/Editar recibos de efectivo,Entrer/Modifier les entrées de trésorerie
Enter/Edit CR/DB Memos,Ingresar/editar notas de CR/DB,Entrer/Modifier les mémos CR/DBEntrer/Modifier les mémos CR/DB
Enter/Edit Disbursements,Ingresar/Editar desembolsos,Entrer/Modifier les débours
Enter/Edit Invoices,Ingresar/Editar Facturas,Entrer/Modifier les factures
Enter/Edit Journal Entries,Ingresar/editar entradas de diario,Entrer/Modifier les entrées de journal
Enter/Edit POs,Enter/Edit POs,Entrer/Modifier les bons de commande
Enter/Edit Recurring AP Invcs,Ingresar/editar convocatorias de AP recurrentes,Entrer/Modifier les demandes d'AP récurrentes
Enter/Edit Recurring Journals,Ingrese/edite diarios recurrentes,Entrer/Modifier les journaux récurrents
Enter/Edit Releases,Ingresar/Editar Versiones,Entrer/Modifier les versions
Enter/Edit Returns,Ingresar/Editar devoluciones,Entrer/Modifier les retours
Estimates by Size,Estimaciones por tamaño,Estimations par taille
Estimates List,Lista de estimaciones,Liste des estimations
Estimates List w/Margins,Lista de estimaciones con márgenes,Liste des estimations avec marges
Estimating / Quotes,Estimar/Cotizaciones,Estimation/Citations
Excel Reports,Informes de Excel,Rapports Excel
Exceptions Report,Informe de excepciones,Rapport d'exceptions
Exit,Salida,Sortie
Export Electronic Invoices,Exportar facturas electrónicas,Exporter des factures électroniques
Export Estimates,Exportar facturas electrónicas,Estimations d'exportation
Factory Ticket Print,Impresión del boleto de fábrica,Impression de billet d'usine
FG Category Product Sales,FG Categoría Ventas de productos,Catégorie FG Ventes de produits
FG Consolidate Tags,Consolidar etiquetas,FG Consolider les tags
FG Daily Activity,FG Actividad diaria,Activité quotidienne FG
FG Enter/Modify Adjustments,FG Ingrese/Modifique los ajustes,FG Entrer/Modifier les ajustements
FG Enter/Modify Physical Count,FG Ingrese/Modifique el Conteo Físico,FG Entrer/Modifier le nombre physique
FG Enter/Modify Receipts,FG Ingresar/Modificar recibos,FG Entrer/Modifier les reçus
FG Enter/Modify Transfers,FG Entrer/Modifier les transferts,FG Entrer/Modifier les transferts
FG Export to Excel,FG Exportar a Excel,FG Export vers Excel
FG History,Historia de FG,Histoire de FG
FG Issue,FG Issue,FG Issue
FG Item Ship Method Update,FG Item Ship Method Method Update,Mise à jour de la méthode d'expédition d'article FG
FG Item Value/Cost Summary,FG Valor del artículo/Resumen de costos,Valeur de l'article FG/Résumé des coûts
FG Packing Detail,Detalle de empaque FG,FG Détail d'emballage
FG Posting Report By Date,Informe de contabilización de FG por fecha,FG Posting Report par date
FG Purchase Requirements,Requisitos de compra FG,Exigences d'achat FG
FG Rebuild Bins/Reset Bal,FG Rebuild Bins/Reset Bal,FG Rebuild Bins/Reset Bal
FG Sell Price/Bin Cost,Costo de venta de FG/costo de Bin,FG Prix de vente/Bin Bin
File,Archivo,Fichier
File Cleanup,Archivo,Nettoyage de fichier
File Maint. Cont'd for TS,File Maint. Continúa para TS,Fichier Maint. Suite pour TS
File Maintenance,Mantenimiento de archivo,Maintenance du fichier
File Maintenance for Contact,Mantenimiento de archivos para contacto,Fichier Maintenance pour Contact
File Maintenance for Customers,Mantenimiento de archivos para clientes,Maintenance de fichiers pour les clients
File Maintenance for G/L,Mantenimiento de archivo para G/L,Fichier de maintenance pour G/L
File Maintenance for Items,Mantenimiento de archivos para artículos,Maintenance de fichiers pour les éléments
File Maintenance for Jobs,Mantenimiento de archivos para trabajos,Fichier Maintenance pour les travaux
File Maintenance for Orders,Mantenimiento de archivos para pedidos,Maintenance de fichiers pour les commandes
File Maintenance for Purchases,Mantenimiento de archivos para compras,Fichier Maintenance pour les achats
File Maintenance for Raw Goods,Mantenimiento de archivos para productos sin procesar,Maintenance de fichiers pour les marchandises brutes
File Maintenance for RFQ,Mantenimiento de archivos para RFQ,Fichier Maintenance pour RFQ
File Maintenance for TS,Mantenimiento de archivos para TS,Fichier de maintenance pour TS
File Maintenance for Vendors,Mantenimiento de archivos para proveedores,Maintenance de fichiers pour les fournisseurs
Financial Statements,Estados financieros,États financiers
Finished Good Item,Buen artículo terminado,Bon article fini
Finished Goods,Productos terminados,Marchandises finies
Finished Goods Categories,Categorías de productos terminados,Finished Goods Categories
Finished Goods Control,Control de productos terminados,Contrôle des marchandises finies
Fix A/R Invoice Date,Corregir fecha de factura de A/R,Fixer la date de facturation A/R
Fix Cash Receipt Date,Fijar fecha de recibo de efectivo,Fixer la date de réception de l'argent
Fix FG Hist Cost,Arreglar el costo de historial FG,Correction du coût de l'historique FG
Fix Invoice Cost,Fijar el costo de la factura,Fixer le coût de la facture
Fix RM Hist Cost,Fijar el costo de RM Hist,Fixer le coût d'histogramme RM
Floor Reporting at Machine,Informes de piso en la máquina,Rapport d'étage à la machine
Flute and Unit Counts,Flauta y unidad cuenta,Flûte et nombre d'unités
Folding Carton Materials,Materiales de cartón plegables,Matériaux de carton pliant
Folding Estimates,Estimaciones plegables,Estimations pliantes
Folding Styles,Estilos plegables,Styles de pliage
Freight Class,Clase de carga,Classe de fret
Freight Report,Informe de carga,Rapport de fret
General Ledger Control,Control de libro mayor,Contrôle de la comptabilité générale
General Ledger,Contabilidad general,Comptabilité générale
GL Accounts,Cuentas GL,Comptes GL
GL Auto Distribution,GL Distribución automática,GL Distribution automatique
GL History,Historia GL,Histoire de GL
GL Invoice Summary,Resumen de la factura GL,GL Récapitulatif des factures
GL Posting Check,Verificación de contabilización GL,GL Posting Check
GL Posting Register,GL Registro de publicaciones,Registre de publication GL
Global FG Price Change,Cambio global del precio de FG,Changement de prix Global FG
Global Price Increase,Aumento global de precios,Augmentation globale des prix
Global Quote Price Change,Cambio de precio de cotización global,Changement de prix global
Global RM Price Change,Cambio de precio global de RM,Global RM Changement de prix
Help,Ayuda,Aide
Help Maintenance,Ayuda Mantenimiento,Aide à la maintenance
High Sales (This Yr vs. Last),Ventas altas (este año contra el último),Ventes élevées (cet an vs dernier)
High Sales by Date Ranges,Altas ventas por rangos de fechas,Ventes élevées par plages de dates
High Sales Tracking,Seguimiento de ventas elevadas,Suivi des ventes élevé
History of Sales,Historia de las ventas,Histoire des ventes
Holidays,Vacaciones,Vacances
Hots List,Lista de calientes,Liste de Hot
Hots List by Open Order,Lista de Hots por orden abierta,Hots List par ordre ouvert
Hots List by Release Number,Lista de Hots por número de lanzamiento,Liste des points d'accès par numéro de version
Hots List2 by Open Order,Hots List 2 por orden abierta,Liste des points d'accès par numéro de version
Import Estimates,Estimaciones de importación,Estimations d'importation
Import GL Account Budgets,Importar presupuestos de cuenta GL,Importation de budgets de compte GL
Import Order,Orden de importación,Commande d'importation
Import Payroll Entries,Importar entradas de nómina,Importer des entrées de paie
In/Out Transaction Report,Informe de transacción de entrada/salida,Rapport de transaction In / Out
Inbound Processing,Procesamiento entrante,Traitement entrant
Income Statement Ratios,Proporciones del estado de ingresos,Ratios du compte de résultat
Ink/Glue Consumption,Ink/Glue Consumption,Consommation d'encre/de colle
Inks by Machine,Tintas por máquina,Encres par machine
Inventory / Finished Goods,Inventario/Productos acabados,Inventaire/Produits finis
Inventory Balances,Balances de inventario,Soldes d'inventaire
Inventory by Bin/Tag,Inventario por contenedor/etiqueta,Inventaire par bin / tag
Inventory by Item Name,Inventario por nombre del artículo,Inventaire par nom d'article
Inventory Status by Job,Estado del inventario por trabajo,État de l'inventaire par emploi
Invoice Balances,Balances de factura,Soldes de factures
Invoice Highlights,Aspectos destacados de la factura,Faits saillants des factures
Invoice Post / Update GL,Factura/Actualización GL,Facture Post/Mise à jour GL
Invoices (810),Facturas (810),Factures (810)
Issue Materials to Jobs,Emitir materiales a trabajos,Emettre des matériaux aux emplois
Item File Maintenance,Mantenimiento del archivo del artículo,Maintenance du fichier d'article
Item List by Customer,Lista de artículos por cliente,Liste d'articles par clientfs
Item Receipt,Item Receipt,Reçu de l'objet
Item Usage,Item Usage,Utilisation de l'article
Job Actual Cost Detail,Job Actual Cost Detail,Détail des coûts réels
Job Backlog by Machine,Job Backlog por máquina,Carnet de travail par machine
Job Backlog by MSF/Kicks,Job Backlog by MSF/Kicks,Job Backlog par MSF/Kicks
Job Categories,Categorías de trabajo,Catégories d'emploi
Job Cost Control,Control de costo de trabajo,Contrôle des coûts d'emploi
Job Costing,Costeo del trabajo,Coût du travail
Job Hold Reasons,Razones de la retención de trabajo,Raisons d'emploi
Job Log,Registro de trabajo,Journal des tâches
Job Material/Machine Report,Material del trabajo/informe de la máquina,Rapport de matériel/machine
Job Sequence,Secuencia de trabajo,Séquence de travail
Job Summary,Resumen del trabajo,Résumé du poste
Job Tick w/Order Printed?,Tick de trabajo w/orden impresa?,Job Tick w/Commande imprimée?
Job Variance,Variación de trabajo,Variance d'emploi
Job/Est/PO Audit,Auditoría de trabajo/este/po,Job/Est/PO Audit
Job/Vendor Analysis,Análisis de trabajo/proveedor,Analyse Job/Vendor
Jobs Due Tracking,Seguimiento de trabajos debidos,Emplois Due Tracking
Journal Entries Report,Informe de entradas de diario,Rapport d'entrées de journal
K-Control Parameters,Parámetros del K-control,Paramètres K-Control
Kopy Estimate,Estimación Kopy,Kopy Estimation
L. More Reports for Receivables,L. Más informes por cobrar,L. Plus de rapports pour Receivable
Label Menu,Menú etiqueta,Menu Étiquette
Labor / Misc. Material Costs,Costos de trabajo/Misc. material,Travail/Divers Coût des matériaux
Labor Hours by Charge Code,Horas de trabajo por código de carga,Heures de main-d'œuvre par code de charge
Labor Hours vs Estimated,Horas de trabajo vs estimadas,Heures de travail vs estimations
Labor Report,Informe laboral,Rapport de travail
Laptop/Server Link,Acoplamiento del ordenador portátil/del servidor,Ordinateur portable/Serveur Lien
Last Year vs. This Year,El año pasado contra este año,L'année dernière par rapport à cette année
Levy F.G. Returns / Credits,Levy F.G. devoluciones/créditos,Levy F.G. Retours/Crédits
List Cash Disbursements,Lista de desembolsos en efectivo,Liste des décaissements
List Management,Gestión de listas,Gestion de liste
List More Reports,Listar más informes,Lister plus de rapports
List Request for Quotes,Lista de solicitudes de cotizaciones,Liste des demandes de devis
Lists More Reports,Enumera más informes,Listes de plus de rapports
Load Estimates,Estimaciones de carga,Estimations de charge
Load Reconciliation File,Cargar archivo de reconciliación,Charger le fichier de rapprochement
Loadtag Creation,Creación Loadtag,Création de Loadtag
Machine Assigned Charge Codes,Códigos de carga asignados por máquina,Codes de taxation attribués à la machine
Machine Assigned Chrg Cds List,Lista de códigos de carga asignados por la máquina,Liste des codes de facturation attribués à la machine
Machine Assigned Shifts,Turnos asignados por máquina,Changements assignés à la machine
Machine Assigned Shifts List,Lista de turnos asignados por máquina,Liste de décalages assignés à la machine
Machine Attachments/Adders,Adjuntos de la máquina/víboras,Attachements de machine/additionneurs
Machine Backlog Analysis,Análisis de la acumulación de máquinas,Analyse de l'arriéré de machines
Machine Backlog By Kicks,Acumulación de máquinas por patadas,Retard de machine par coups de pied
Machine Charge Codes,Códigos de carga de máquina,Codes de charge de la machine
Machine Cost By Job,Costo de la máquina por trabajo,Coût de la machine par emploi
Machine Efficiency,Eficacia de la máquina,Efficacité de la machine
Machine Efficiency - Excel,Eficacia de la máquina-Excel,Efficacité de la machine - Excel
Machine File,Archivo de máquina,Fichier machine
Machine File List,Lista de archivos de máquina,Liste des fichiers machine
Machine Notes Report,Informe de notas de máquina,Rapport sur les notes d'ordinateur
Machine Productivity,Productividad de la máquina,Productivité de la machine
Machine Routings,Enrutamiento de máquinas,Routages de la machine
Machine Transaction Summary,Resumen de transacciones de máquina,Récapitulatif de la transaction machine
Machine Transactions,Transacciones de máquinas,Transactions de la machine
Machines MSF Produced by Job,Máquinas MSF producidas por Job,Machines MSF produites par Job
Mail List Label,Etiqueta de lista de correo,Étiquette de la liste
Mail List Merge,Combinar lista de correo,Fusion de liste de courrier
Main Menu - Advantzware version,Menú Principal - Advantzware versión,Menu Principal - Advantzware version
Management Dashboard,Panel de administración,Tableau de bord de gestion
Management Highlights,Aspectos destacados de la gestión,Points saillants de la gestion
Management Highlights Summary,Resumen de la gestión,Résumé des faits saillants de la gestion
Manual Checks,Controles manuales,Vérifications manuelles
Markup Matrix,Matriz de marcado,Matrice de balisage
Master BOL Print,Master bol impresiones,Master BOL Impression
Margin Matrix,Matriz de márgenes,Matrice de marge
Material Cost Types,Tipos de costos de material,Types de coûts matériels
Material Receipts History,Historial de recibos de material,Historique des recettes matérielles
Material Required for Job,Material requerido para el trabajo,Matériel requis pour le travail
Material Types,Tipos de material,Types de matériaux
Materials,Materiales,Matériaux
Materials / Raw Goods,Materiales/Mercancías crudas,Matériaux/Produits bruts
Materials Allocation,Asignación de materiales,Répartition des matériaux
Misc Surcharges,Suplementos Misceláneos,Surtaxes diverses
Miscellaneous Edit List,Lista de edición Miscelánea,Divers Modifier la liste
Miscellaneous Entry/Maint,Entrada Miscelánea/maint,Entrée/Maint Divers
Monthly Tax,Impuesto mensual,Taxe mensuelle
Move FG To Board/Misc RM,Mover FG a Board/Misc RM,Déplacer FG vers Board/Misc RM
MSF by Job,MSF por Job,MSF par Job
MTD Destination Subtotals,Subtotales de destino de MTD,Sous-totaux de destination MTD
Network / System Administrator,Administrador de sistemas y redes,Administrateur réseau/système
New License Code Entry,Nueva entrada de código de licencia,Nouvelle entrée de code de licence
Next Ship Date and Value,Fecha y valor de la próxima nave,Next Ship Date and Value
OE Invoice Edit List,Lista de edición de facturas OE,Liste de modification de la facture d'origine
On-Time Deliveries,Entregas puntuales,Livraisons à temps
On-Time Deliveries for Jobs,Entregas puntuales para trabajos,Livraisons à temps pour les emplois
Open Jobs Backlog Report,Informe de cartera de trabajos abiertos,Rapport sur l'arriéré des offres d'emploi
Open Jobs by Due Date/Cust,Abrir trabajos por fecha de vencimiento/cliente,Ouvrir les emplois par échéance/Cust
Open Order Report,Abrir informe de pedido,Ouvrir le rapport de commande
Order Backlog,Pedidos atrasados,Carnet de commandes
Order Backlog by Part Number,Pedidos por número de pieza,Commander le carnet de commandes par numéro de pièce
Order Balance by PO / Job,Saldo de pedido por PO/Job,Solde de la commande par PO/Job
Order Balance by PO#,Orden de saldo por PO #,Solde de la commande par numéro d'ordre
Order Edit List,Ordenar lista de edición,Commande Modifier la liste
Order Entry,Entrada de pedido,La saisie des commandes
Order Entry Control,Control de entrada de pedidos,Contrôle d'entrée de commande
Order Post/Purge Deleted,Orden post/purgado eliminado,Ordre de poste/Purge supprimé
Order Processing,Proceso de la orden,Traitement des commandes
Order Status,Estado del pedido,Statut de la commande
Orders Booked,Pedidos reservados,Commandes réservées
Orders Booked by Due Date,Pedidos reservados por fecha de vencimiento,Commandes réservées par date d'échéance
Orders Booked by Order No,Pedidos reservados por orden No,Commandes réservées par commande No
Organization Struct (816),Estructura de la organización (816),Structure de l'Organisation (816)
Outbound Processing,Procesamiento saliente,Traitement sortant
Pallet Tag for BOL,Pallet Tag para Bol,Palette pour BOL
Parameter Files,Archivos de parámetros,Fichiers de paramètres
Parameter Files Listing,Listado de archivos de parámetros,Liste des fichiers de paramètres
Past Due Aging,Envejecimiento vencido,Après vieillissement
Partner Groups,Grupos de socios,Groupes de partenaires
Payment Terms,Condiciones de pago,Modalités de paiement
Payment Type,Tipo de pago,Type de paiement
Physical Count Processing,Procesamiento de conteo físico,Traitement du nombre physique
Physical Count Report,Informe de conteo físico,Rapport de comptage physique
Plant File Maintenance,Mantenimiento de archivos de plantas,Maintenance du fichier d'installation
PO FG/RM History,Historia de po FG/RM,PO FG/RM Histoire
PO FG/RM History by Customer,Historia del Po FG/RM por el cliente,PO FG/RM Historique par client
